stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
광장타운건너,달서구,681147,196644,877791,2,340573.5,875,2142,11.421485445764262,27.95979637123091,15시,484503,0.5519571287470479,퇴근형,35.85586167,128.5527183
청구고등학교앞,동구,1011770,232709,1244479,3,337256.6666666667,2602,2394,23.14123087869086,21.29135538954109,8시,779061,0.6260137776531384,생활형,35.8675761,128.6219035
영진전문대학교정문앞,북구,1001915,273036,1274951,3,333971.6666666667,1661,2089,17.246391859619976,21.690374831274013,16시,728879,0.57169177482115,생활형,35.89443642,128.6239213
지저동행정복지센터건너,동구,995266,140702,1135968,3,331755.3333333333,3506,1532,31.91334425632623,13.945020935736391,8시,854564,0.7522782331896674,출근형,35.89369967,128.6374047
포산고등학교3,달성군,330463,2748,333211,1,330463.0,1553,842,28.391224862888482,15.393053016453381,7시,327715,0.9835059466824324,출근형,35.69104667,128.4492267
북구보건소앞,북구,651434,26694,678128,2,325717.0,1512,1704,20.460081190798377,23.058186738836266,18시,624740,0.9212715003657127,생활형,35.89108777,128.5871349
홈플러스내당점건너,서구,650042,77698,727740,2,325021.0,772,2723,9.743783920232236,34.36829483781396,18시,572344,0.7864676945062797,퇴근형,35.86086833,128.564405
봉덕시장앞1,남구,968033,96778,1064811,3,322677.6666666667,1560,2519,13.968481375358166,22.55551575931232,12시,871255,0.8182250183365875,생활형,35.84464692,128.6026864
범물2동행정복지센터건너,수성구,318354,30542,348896,1,318354.0,1174,691,29.519738496354037,17.374905707819966,8시,287812,0.8249220398055581,출근형,35.81702817,128.6452648
율하역(2번출구),동구,633077,301652,934729,2,316538.5,2342,2346,27.037635649965363,27.08381436157931,8시,331425,0.3545680084816027,출퇴근형,35.86902667,128.691705
국우동현대아파트앞,북구,628533,144414,772947,2,314266.5,2731,1105,35.28423772609819,14.276485788113696,7시,484119,0.6263288427278972,출근형,35.94782405,128.5798736
큰고개오거리1,동구,932379,58045,990424,3,310793.0,2297,2847,22.76285799227034,28.213259340005948,18시,874334,0.8827875738067736,퇴근형,35.88629333,128.63235
수성태영데시앙앞,수성구,310061,42899,352960,1,310061.0,743,817,22.040937407297537,24.236131711658263,8시,267162,0.7569186310063464,생활형,35.86294195,128.6180576
제일풍경채건너,달성군,602973,71677,674650,2,301486.5,1543,1063,26.65399896355156,18.362411470029365,7시,531296,0.7875135255317572,출근형,35.69312885,128.4551934
