년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-07-31,(구)현풍시외버스터미널,7111039200,승차,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-07-31,(구)현풍시외버스터미널,7111039200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-07-31,(주)성안건너,7021042100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-07-31,(주)성안건너,7021042100,하차,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,9
2024-07-31,(주)영화건너,7111058300,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,(주)영화건너,7111058300,하차,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-07-31,(주)영화앞,7111059100,승차,0,0,0,1,0,0,0,1,1,1,2,0,3,1,1,1,0,0,0,13
2024-07-31,1차서한화성타운건너,7041058600,승차,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,10
2024-07-31,1차서한화성타운건너,7041058600,하차,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,7
2024-07-31,1차서한화성타운앞,7041047200,승차,0,1,4,2,2,1,2,3,2,1,2,1,1,2,1,1,1,1,0,28
2024-07-31,1차서한화성타운앞,7041047200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
2024-07-31,2.28기념중앙공원건너1,7001006900,승차,5,12,23,21,16,23,31,35,47,54,66,90,107,136,104,105,141,150,29,1195
2024-07-31,2.28기념중앙공원건너1,7001006900,하차,1,7,13,25,26,25,26,30,33,28,27,28,34,38,18,11,10,7,2,387
2024-07-31,2.28기념중앙공원건너2,7001011700,승차,0,1,5,7,5,7,7,8,10,15,13,15,19,22,10,10,13,13,0,181
2024-07-31,2.28기념중앙공원건너2,7001011700,하차,0,4,6,11,8,7,11,11,9,11,10,10,11,14,7,5,2,2,1,141
2024-07-31,2.28기념중앙공원앞,7001006800,승차,11,22,39,85,56,61,83,126,143,163,196,242,276,324,265,269,249,225,49,2885
2024-07-31,2.28기념중앙공원앞,7001006800,하차,2,11,24,57,32,27,33,40,42,36,36,36,41,47,26,17,11,9,2,529
2024-07-31,2차대자연맨션건너,7061035600,승차,0,2,4,7,5,3,2,3,3,3,3,3,2,2,2,1,1,1,0,47
2024-07-31,2차대자연맨션건너,7061035600,하차,0,0,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,0,35
2024-07-31,2차대자연맨션앞,7061009500,승차,9,7,22,36,30,25,21,20,20,19,16,17,17,17,10,7,6,3,0,301
2024-07-31,2차대자연맨션앞,7061009500,하차,0,0,1,2,3,3,4,3,4,3,3,4,3,2,1,1,0,0,0,36
2024-07-31,2차서한화성타운건너,7041003100,승차,14,44,117,133,89,68,66,66,64,54,59,60,60,57,35,31,20,14,0,1052
2024-07-31,2차서한화성타운건너,7041003100,하차,2,3,5,7,7,5,5,5,6,7,6,7,7,10,5,5,3,3,0,98
2024-07-31,2차서한화성타운앞,7041003000,승차,6,18,41,48,33,21,21,22,28,23,31,30,35,37,23,17,17,15,5,470
2024-07-31,2차서한화성타운앞,7041003000,하차,1,5,5,7,5,5,6,8,9,8,11,14,15,22,14,9,11,13,5,173
2024-07-31,2호선반월당역1,7001001400,승차,1,3,4,7,8,10,13,22,30,32,38,51,67,75,62,63,60,60,5,610
2024-07-31,2호선반월당역1,7001001400,하차,0,1,4,11,11,12,11,12,16,16,12,12,19,24,13,5,4,4,3,191
2024-07-31,2호선반월당역2,7001012300,승차,2,3,4,14,13,15,15,18,25,30,33,28,35,47,33,25,23,20,3,386
2024-07-31,2호선반월당역2,7001012300,하차,0,4,9,14,13,12,10,10,13,14,13,11,12,14,8,5,4,2,0,168
2024-07-31,CBS방송국건너,7021023000,승차,1,5,13,14,13,10,11,11,11,10,11,10,13,16,6,5,3,2,0,163
2024-07-31,CBS방송국건너,7021023000,하차,0,3,7,8,6,7,4,6,5,6,6,5,6,5,4,3,2,1,0,85
2024-07-31,CBS방송국앞,7021023100,승차,1,2,9,8,7,6,6,7,7,6,9,8,10,11,6,7,6,3,1,120
2024-07-31,CBS방송국앞,7021023100,하차,0,4,5,12,4,4,3,4,5,4,6,6,6,6,3,3,2,1,1,79
2024-07-31,CGV대구한일건너,7001006600,승차,7,16,33,41,31,56,72,97,107,133,189,223,244,272,207,227,250,213,29,2448
2024-07-31,CGV대구한일건너,7001006600,하차,2,7,14,24,34,37,46,49,51,51,51,53,60,64,26,22,18,15,3,624
2024-07-31,CGV대구한일앞,7001006700,승차,1,3,5,8,10,13,20,28,36,41,55,73,79,88,79,77,71,75,12,771
2024-07-31,CGV대구한일앞,7001006700,하차,1,3,3,9,6,7,8,10,11,9,10,10,9,10,5,4,3,2,0,122
2024-07-31,e-편한세상월배건너,7041059100,승차,0,2,8,6,4,3,2,1,3,4,1,2,2,2,2,2,1,0,0,47
2024-07-31,e-편한세상월배건너,7041059100,하차,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
2024-07-31,e-편한세상월배앞,7041059000,승차,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7
2024-07-31,e-편한세상월배앞,7041059000,하차,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6
2024-07-31,e편한세상대구금호건너,7021056500,승차,7,17,47,44,34,26,19,19,18,17,18,15,15,15,10,6,5,1,0,332
2024-07-31,e편한세상대구금호건너,7021056500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-07-31,e편한세상대구금호앞,7021056600,승차,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,8
2024-07-31,e편한세상대구금호앞,7021056600,하차,0,0,0,0,1,1,1,1,1,2,2,2,3,4,3,2,2,2,1,28
2024-07-31,K-2입구,7011012200,승차,3,4,6,7,7,4,5,5,5,5,4,9,8,9,5,5,2,2,0,94
2024-07-31,K-2입구,7011012200,하차,0,2,3,3,2,2,2,2,2,2,2,3,3,3,2,2,1,1,0,36
2024-07-31,K2관사입구(종점),7011035800,승차,0,0,1,1,2,2,0,2,1,3,0,2,2,0,1,0,0,0,0,18
2024-07-31,K2관사입구(종점),7011035800,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2024-07-31,KT남대구지사건너1,7051003500,승차,4,12,14,16,15,15,15,18,16,20,19,23,27,24,15,11,9,8,2,283
2024-07-31,KT남대구지사건너1,7051003500,하차,2,1,3,7,8,6,7,6,6,8,10,9,10,9,7,6,6,3,1,114
2024-07-31,KT남대구지사건너2,7051003000,승차,2,3,4,9,7,10,8,10,8,10,11,13,10,10,8,5,5,3,0,138
2024-07-31,KT남대구지사건너2,7051003000,하차,0,0,1,3,2,2,2,4,3,4,4,5,5,6,5,4,3,3,1,56
2024-07-31,KT남대구지사앞1,7051003400,승차,7,17,41,55,49,45,43,46,44,41,41,46,47,49,32,23,22,14,1,665
2024-07-31,KT남대구지사앞1,7051003400,하차,2,7,13,19,18,16,16,16,16,16,16,17,20,21,11,10,9,6,2,248
2024-07-31,KT남대구지사앞2,7051002900,승차,0,1,8,5,3,2,2,4,3,2,2,1,2,1,1,1,1,1,0,41
2024-07-31,KT남대구지사앞2,7051002900,하차,0,2,4,7,5,4,4,4,5,5,3,5,4,4,2,2,2,1,0,63
2024-07-31,KT동대구지사건너,7011007300,승차,13,25,52,81,51,51,46,43,42,45,49,38,54,43,24,13,14,13,1,698
2024-07-31,KT동대구지사건너,7011007300,하차,10,16,26,54,42,34,33,28,36,30,31,26,33,38,20,13,13,10,1,493
2024-07-31,KT동대구지사앞,7011007200,승차,2,17,33,33,38,54,50,40,24,43,50,45,47,31,19,13,16,11,1,568
2024-07-31,KT동대구지사앞,7011007200,하차,0,1,2,3,4,5,4,4,4,5,6,7,6,7,4,3,3,2,0,70
2024-07-31,KT북대구지사건너,7021013700,승차,1,2,6,7,4,5,4,3,3,2,2,3,6,7,2,2,3,2,1,65
2024-07-31,KT북대구지사건너,7021013700,하차,0,0,1,1,1,0,1,1,1,1,1,1,2,3,2,1,1,0,0,18
2024-07-31,KT북대구지사앞,7021013800,승차,3,9,10,11,7,7,8,8,8,8,7,7,9,8,4,4,3,3,0,124
2024-07-31,KT북대구지사앞,7021013800,하차,0,0,1,3,1,2,1,1,1,1,2,3,2,3,2,2,1,2,0,26
2024-07-31,KT서대구지사건너,7031015100,승차,11,12,36,60,45,42,42,42,37,33,30,29,40,37,19,17,11,9,2,552
2024-07-31,KT서대구지사건너,7031015100,하차,0,2,4,9,8,8,7,7,6,7,10,9,11,12,7,6,4,5,1,122
2024-07-31,KT서대구지사앞,7031010600,승차,7,21,30,41,27,22,24,21,22,25,22,24,33,32,20,16,15,10,2,413
2024-07-31,KT서대구지사앞,7031010600,하차,1,3,9,21,13,11,11,12,14,15,18,20,21,22,18,12,11,8,2,243
2024-07-31,LG물류센터건너,7011015100,승차,8,5,12,14,21,20,13,11,8,10,15,28,11,12,6,5,5,5,2,211
2024-07-31,LG물류센터건너,7011015100,하차,1,3,7,7,5,5,6,6,6,5,6,7,7,9,6,5,4,4,1,100
2024-07-31,LG물류센터앞,7011015200,승차,4,11,24,32,24,20,20,20,18,14,16,22,21,16,8,6,6,3,1,285
2024-07-31,LG물류센터앞,7011015200,하차,1,2,8,10,5,5,6,6,6,4,6,7,9,8,3,3,3,2,0,97
2024-07-31,LH10단지아파트건너,7011060000,승차,4,16,58,52,34,28,22,26,26,22,22,20,26,35,18,11,11,13,1,445
2024-07-31,LH10단지아파트건너,7011060000,하차,2,4,12,13,7,5,6,4,7,5,4,5,6,6,4,3,2,2,0,97
2024-07-31,LH10단지아파트앞,7011060100,승차,1,1,4,4,2,2,4,2,4,3,4,3,3,5,6,2,3,5,3,61
2024-07-31,LH10단지아파트앞,7011060100,하차,0,1,1,8,4,2,3,3,5,4,5,6,8,12,10,6,7,6,3,94
2024-07-31,LH14단지아파트,7011061800,승차,1,4,17,21,13,10,10,5,9,6,6,6,2,4,2,1,0,0,0,118
2024-07-31,LH14단지아파트,7011061800,하차,0,0,3,7,2,1,1,0,1,1,1,1,0,0,1,0,1,0,0,20
2024-07-31,LH천년나무2단지건너,7111073200,승차,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7
2024-07-31,LH천년나무2단지건너,7111073200,하차,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,11
2024-07-31,LH천년나무2단지앞,7111073100,승차,0,1,5,3,1,2,2,2,1,2,3,2,2,4,2,1,3,1,0,35
2024-07-31,LH천년나무2단지앞,7111073100,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-07-31,NH농협혁신도시지점건너,7011056700,하차,0,0,1,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9
2024-07-31,NH농협혁신도시지점앞,7011056600,승차,0,1,2,1,4,6,7,8,5,7,16,15,17,32,2,8,6,4,0,140
2024-07-31,NH농협혁신도시지점앞,7011056600,하차,0,0,0,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,11
2024-07-31,SD아이프라임강북아파트,7021005600,승차,3,8,37,23,19,16,14,13,20,15,20,20,19,13,9,9,9,8,0,276
2024-07-31,SD아이프라임강북아파트,7021005600,하차,0,0,1,1,2,1,1,1,1,1,2,1,1,2,1,0,0,0,0,16
2024-07-31,SK리더스뷰건너,7061012500,승차,4,5,14,14,14,14,14,17,17,15,18,23,24,24,15,15,11,8,0,266
2024-07-31,SK리더스뷰건너,7061012500,하차,0,0,4,4,4,4,4,4,3,3,3,3,4,6,3,2,3,2,0,59
2024-07-31,SK리더스뷰앞,7061012600,승차,1,2,7,8,7,7,9,10,9,11,17,19,15,16,11,10,13,14,5,189
2024-07-31,SK리더스뷰앞,7061012600,하차,0,2,4,6,6,4,4,4,5,5,5,5,6,7,4,3,3,2,1,74
2024-07-31,TBC건너,7061012900,승차,7,11,25,26,24,18,21,18,22,28,32,35,27,40,24,28,32,24,1,442
2024-07-31,TBC건너,7061012900,하차,0,0,1,3,2,2,2,2,3,3,3,3,3,4,1,2,2,1,0,38
2024-07-31,TBC앞,7061012800,승차,0,1,8,29,7,6,6,6,7,7,10,11,13,13,9,7,9,10,2,162
2024-07-31,TBC앞,7061012800,하차,0,2,2,6,5,6,6,7,8,8,12,10,13,17,14,10,9,10,4,149
2024-07-31,㈜윔스건너,7041044700,승차,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5
2024-07-31,㈜윔스건너,7041044700,하차,0,1,1,2,0,1,1,1,0,1,1,1,2,2,0,1,1,0,0,16
2024-07-31,㈜윔스앞,7041044800,승차,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,8
