년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-06-30,(구)현풍시외버스터미널,7111039200,승차,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,(주)성안건너,7021042100,하차,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8
2024-06-30,(주)영화건너,7111058300,하차,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,(주)영화앞,7111059100,승차,1,0,0,1,0,0,0,0,0,1,1,1,3,1,1,2,0,0,0,13
2024-06-30,1차서한화성타운건너,7041058600,승차,0,0,2,2,1,1,1,1,1,1,1,1,2,0,0,0,1,1,0,19
2024-06-30,1차서한화성타운건너,7041058600,하차,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,8
2024-06-30,1차서한화성타운앞,7041047200,승차,0,1,4,2,2,1,1,2,1,2,1,2,1,2,1,0,1,1,0,25
2024-06-30,2.28기념중앙공원건너1,7001006900,승차,7,14,26,23,19,21,30,39,49,55,67,93,105,121,91,101,127,132,24,1141
2024-06-30,2.28기념중앙공원건너1,7001006900,하차,1,9,13,24,26,25,28,34,34,28,32,34,37,39,21,13,12,8,1,419
2024-06-30,2.28기념중앙공원건너2,7001011700,승차,0,1,5,7,4,6,9,8,9,13,14,13,16,24,10,11,11,9,0,171
2024-06-30,2.28기념중앙공원건너2,7001011700,하차,0,3,5,11,9,8,10,11,10,9,10,11,10,13,7,4,3,2,1,138
2024-06-30,2.28기념중앙공원앞,7001006800,승차,14,22,38,76,56,56,80,113,135,158,192,213,238,279,220,232,258,227,42,2649
2024-06-30,2.28기념중앙공원앞,7001006800,하차,2,10,23,50,36,27,31,36,40,38,38,34,41,47,24,16,10,8,2,510
2024-06-30,2차대자연맨션건너,7061035600,승차,0,2,4,6,5,3,2,2,2,2,2,3,3,3,2,1,1,1,1,46
2024-06-30,2차대자연맨션건너,7061035600,하차,0,0,1,2,2,1,2,2,2,2,3,3,3,4,3,2,2,3,0,39
2024-06-30,2차대자연맨션앞,7061009500,승차,8,10,30,42,28,24,20,20,17,18,17,14,16,14,11,7,5,3,0,303
2024-06-30,2차대자연맨션앞,7061009500,하차,0,1,2,1,3,2,3,2,3,4,2,4,3,1,1,1,0,0,0,34
2024-06-30,2차서한화성타운건너,7041003100,승차,15,50,120,127,89,62,67,67,61,52,54,55,58,54,34,30,21,14,0,1030
2024-06-30,2차서한화성타운건너,7041003100,하차,2,3,4,7,6,4,5,5,7,5,6,7,7,10,6,5,4,3,0,98
2024-06-30,2차서한화성타운앞,7041003000,승차,7,19,39,50,34,25,24,22,28,22,32,30,34,39,25,19,16,14,5,484
2024-06-30,2차서한화성타운앞,7041003000,하차,0,5,6,7,5,6,6,8,7,9,13,14,17,23,15,8,11,10,4,173
2024-06-30,2호선반월당역1,7001001400,승차,1,4,6,9,7,10,13,24,26,34,43,56,60,65,57,65,55,51,4,592
2024-06-30,2호선반월당역1,7001001400,하차,0,1,5,11,13,12,10,14,16,16,12,11,16,20,9,5,3,4,2,179
2024-06-30,2호선반월당역2,7001012300,승차,2,3,3,10,11,14,13,16,23,29,33,24,31,43,31,24,19,19,2,350
2024-06-30,2호선반월당역2,7001012300,하차,1,4,7,16,14,12,11,11,12,14,11,10,12,12,8,4,4,3,0,166
2024-06-30,CBS방송국건너,7021023000,승차,1,5,15,14,12,10,13,11,10,9,10,11,12,14,5,5,3,3,0,163
2024-06-30,CBS방송국건너,7021023000,하차,0,3,6,6,6,7,6,6,5,6,6,7,6,5,4,2,3,1,0,86
2024-06-30,CBS방송국앞,7021023100,승차,1,2,9,8,6,6,6,6,7,6,10,10,10,12,5,5,4,4,0,120
2024-06-30,CBS방송국앞,7021023100,하차,0,3,6,10,5,4,4,4,5,4,6,7,6,5,3,3,2,2,1,79
2024-06-30,CGV대구한일건너,7001006600,승차,8,16,28,36,33,50,72,99,106,136,178,211,226,250,189,211,220,186,26,2280
2024-06-30,CGV대구한일건너,7001006600,하차,2,7,12,21,27,33,40,49,46,43,47,47,57,56,25,21,16,12,3,564
2024-06-30,CGV대구한일앞,7001006700,승차,1,2,4,7,10,12,20,29,38,43,55,62,73,78,64,65,66,67,10,706
2024-06-30,CGV대구한일앞,7001006700,하차,1,3,4,8,6,6,8,8,10,8,10,10,8,8,4,3,3,2,0,109
2024-06-30,e-편한세상월배건너,7041059100,승차,0,2,11,5,6,5,4,3,3,6,2,2,2,2,2,2,1,0,0,61
2024-06-30,e-편한세상월배건너,7041059100,하차,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
2024-06-30,e-편한세상월배앞,7041059000,승차,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
2024-06-30,e-편한세상월배앞,7041059000,하차,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,8
2024-06-30,e편한세상대구금호건너,7021056500,승차,8,17,49,41,33,26,19,21,21,16,15,16,13,15,10,5,4,1,0,331
2024-06-30,e편한세상대구금호건너,7021056500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,e편한세상대구금호앞,7021056600,승차,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,8
2024-06-30,e편한세상대구금호앞,7021056600,하차,0,0,0,1,0,1,1,1,2,1,2,2,2,4,4,1,2,2,0,27
2024-06-30,K-2입구,7011012200,승차,2,3,4,7,8,4,5,5,4,6,5,7,8,6,5,4,2,2,0,87
2024-06-30,K-2입구,7011012200,하차,0,1,3,3,2,2,2,2,2,2,3,3,4,4,2,1,1,1,0,38
2024-06-30,K2관사입구(종점),7011035800,승차,0,0,2,0,2,2,0,3,0,3,0,1,2,0,2,0,0,0,0,18
2024-06-30,K2관사입구(종점),7011035800,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2024-06-30,KT남대구지사건너1,7051003500,승차,3,12,17,15,17,15,14,17,17,18,23,24,23,23,14,12,10,8,2,285
2024-06-30,KT남대구지사건너1,7051003500,하차,2,2,2,6,8,7,8,6,7,8,9,8,9,9,7,5,6,4,1,115
2024-06-30,KT남대구지사건너2,7051003000,승차,1,4,5,7,7,11,10,9,8,11,9,10,10,10,7,6,4,3,1,133
2024-06-30,KT남대구지사건너2,7051003000,하차,0,0,1,3,1,2,2,3,3,4,3,6,5,6,5,4,3,2,1,55
2024-06-30,KT남대구지사앞1,7051003400,승차,7,15,36,52,47,44,42,45,45,40,40,44,46,45,31,22,21,14,1,637
2024-06-30,KT남대구지사앞1,7051003400,하차,2,6,13,17,17,14,15,16,16,14,16,17,19,21,11,10,9,7,1,243
2024-06-30,KT남대구지사앞2,7051002900,승차,0,1,8,5,3,3,2,4,2,2,2,2,2,2,1,1,1,0,0,40
2024-06-30,KT남대구지사앞2,7051002900,하차,0,3,3,6,6,5,4,5,5,4,4,5,3,4,2,1,2,1,0,62
2024-06-30,KT동대구지사건너,7011007300,승차,11,26,50,78,50,49,44,44,43,42,44,36,47,39,22,11,14,10,1,661
2024-06-30,KT동대구지사건너,7011007300,하차,10,16,25,52,42,36,34,29,33,31,31,29,34,32,20,13,13,10,1,490
2024-06-30,KT동대구지사앞,7011007200,승차,3,16,32,28,36,52,47,42,24,37,44,41,43,29,19,12,14,10,1,531
2024-06-30,KT동대구지사앞,7011007200,하차,0,1,2,2,3,5,4,4,3,5,6,6,5,7,4,3,3,3,0,68
2024-06-30,KT북대구지사건너,7021013700,승차,2,1,5,6,4,4,3,4,3,3,3,3,5,5,2,2,2,2,1,60
2024-06-30,KT북대구지사건너,7021013700,하차,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,16
2024-06-30,KT북대구지사앞,7021013800,승차,4,7,12,10,6,7,9,9,7,9,6,7,8,7,4,4,4,3,0,124
2024-06-30,KT북대구지사앞,7021013800,하차,0,0,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,0,22
2024-06-30,KT서대구지사건너,7031015100,승차,12,13,34,53,46,38,38,40,36,31,27,27,35,33,20,16,10,10,2,522
2024-06-30,KT서대구지사건너,7031015100,하차,0,2,4,11,8,8,6,9,6,7,8,9,11,12,7,6,5,4,1,123
2024-06-30,KT서대구지사앞,7031010600,승차,7,18,33,34,28,21,23,23,20,25,21,21,31,28,20,15,16,8,1,395
2024-06-30,KT서대구지사앞,7031010600,하차,1,3,9,18,13,12,10,13,14,16,18,22,21,22,18,12,11,7,2,241
2024-06-30,LG물류센터건너,7011015100,승차,11,6,13,14,13,12,8,10,9,9,11,31,14,15,7,5,7,6,2,204
2024-06-30,LG물류센터건너,7011015100,하차,3,3,8,9,5,5,6,6,5,6,7,7,7,8,6,5,5,4,1,105
2024-06-30,LG물류센터앞,7011015200,승차,4,9,23,32,21,19,19,19,18,14,15,22,21,18,10,7,5,4,0,281
2024-06-30,LG물류센터앞,7011015200,하차,1,3,11,11,6,7,5,7,5,5,6,8,9,8,4,3,3,2,0,104
2024-06-30,LH10단지아파트건너,7011060000,승차,5,15,54,53,35,28,23,25,26,23,21,21,22,32,16,13,10,14,2,436
2024-06-30,LH10단지아파트건너,7011060000,하차,3,4,12,13,7,6,8,7,10,9,7,9,9,8,5,4,3,2,0,125
2024-06-30,LH10단지아파트앞,7011060100,승차,0,1,3,5,3,3,4,3,3,4,4,4,3,4,5,3,4,6,3,64
2024-06-30,LH10단지아파트앞,7011060100,하차,0,1,2,6,4,2,3,4,4,3,6,6,9,10,10,6,7,5,3,91
2024-06-30,LH14단지아파트,7011061800,승차,2,3,16,19,13,9,9,5,9,5,5,6,2,4,2,1,1,0,0,112
2024-06-30,LH14단지아파트,7011061800,하차,0,0,3,5,2,1,0,0,1,0,1,1,1,0,1,0,1,0,0,19
2024-06-30,LH천년나무2단지건너,7111073200,승차,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6
2024-06-30,LH천년나무2단지건너,7111073200,하차,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,11
2024-06-30,LH천년나무2단지앞,7111073100,승차,0,1,6,3,2,2,3,2,2,1,3,1,2,5,2,1,2,1,0,38
2024-06-30,LH천년나무2단지앞,7111073100,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-06-30,NH농협혁신도시지점건너,7011056700,하차,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8
2024-06-30,NH농협혁신도시지점앞,7011056600,승차,0,1,2,1,4,6,7,6,5,6,18,15,15,24,1,6,6,3,0,125
2024-06-30,NH농협혁신도시지점앞,7011056600,하차,0,1,0,0,2,1,1,2,1,0,1,1,1,1,0,0,0,0,0,14
2024-06-30,SD아이프라임강북아파트,7021005600,승차,3,6,40,22,20,15,13,13,19,15,18,21,19,11,8,10,8,7,0,268
2024-06-30,SD아이프라임강북아파트,7021005600,하차,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,15
2024-06-30,SK리더스뷰건너,7061012500,승차,4,5,13,14,13,13,13,18,16,15,17,24,22,20,13,15,11,7,1,254
2024-06-30,SK리더스뷰건너,7061012500,하차,0,1,4,6,7,4,4,6,4,4,3,4,4,5,3,2,2,2,0,65
2024-06-30,SK리더스뷰앞,7061012600,승차,1,3,9,8,7,6,6,10,10,9,17,16,14,13,8,9,13,11,4,176
2024-06-30,SK리더스뷰앞,7061012600,하차,0,2,4,6,6,4,4,4,5,4,5,5,6,6,3,2,2,2,0,71
2024-06-30,TBC건너,7061012900,승차,8,11,30,28,25,18,20,19,23,26,33,35,31,37,28,32,34,32,1,470
2024-06-30,TBC건너,7061012900,하차,0,1,1,3,3,2,2,2,3,3,3,3,2,4,2,2,2,2,0,39
2024-06-30,TBC앞,7061012800,승차,1,1,11,24,7,6,6,5,7,8,9,10,12,11,8,7,9,10,3,154
2024-06-30,TBC앞,7061012800,하차,0,2,2,6,6,6,9,8,10,10,10,10,17,18,13,10,7,9,4,157
2024-06-30,㈜윔스건너,7041044700,하차,0,0,2,2,0,1,1,1,0,1,2,1,2,2,1,1,1,0,0,16
2024-06-30,㈜윔스앞,7041044800,승차,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,8
2024-06-30,가암1리,7361000524,승차,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,가창119안전센터,7111046100,승차,0,1,2,2,2,2,2,2,2,1,1,2,1,1,1,0,0,0,0,21
2024-06-30,가창119안전센터,7111046100,하차,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
2024-06-30,가창농협건너,7111000400,승차,0,2,5,4,5,7,8,8,7,7,8,8,7,6,6,3,2,1,0,94
2024-06-30,가창농협건너,7111000400,하차,0,2,5,5,5,4,5,5,5,5,6,6,5,5,3,2,2,1,0,74
2024-06-30,가창농협앞,7111000500,승차,3,9,30,27,24,23,25,28,24,44,24,20,16,15,9,9,5,4,0,340
2024-06-30,가창농협앞,7111000500,하차,0,0,1,1,2,1,1,1,2,2,2,2,1,1,1,0,0,0,0,20
2024-06-30,가창댐1,7111060300,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-06-30,가창댐1,7111060300,하차,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,가창면행정복지센터건너,7111000600,승차,1,4,7,6,7,8,7,8,6,6,5,6,6,4,4,2,1,1,0,89
2024-06-30,가창면행정복지센터건너,7111000600,하차,0,3,3,4,5,3,2,3,2,3,3,3,3,2,2,2,1,1,1,47
2024-06-30,가창면행정복지센터앞,7111000700,승차,4,5,14,12,15,15,15,16,15,14,12,14,16,16,9,8,4,2,0,205
2024-06-30,가창면행정복지센터앞,7111000700,하차,0,1,1,2,3,3,2,2,2,3,3,3,2,2,1,1,0,0,0,33
2024-06-30,가창중학교건너,7111045600,승차,0,0,2,2,2,2,2,2,2,2,10,26,11,4,1,1,1,0,0,70
2024-06-30,가창중학교앞,7111045700,승차,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2024-06-30,가창중학교앞,7111045700,하차,0,0,1,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0,11
2024-06-30,가창초등학교건너,7111045800,승차,0,1,7,6,8,7,7,5,7,8,14,13,6,4,4,3,2,0,0,100
2024-06-30,가창초등학교건너,7111045800,하차,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12
2024-06-30,가창초등학교건너2,7111081300,승차,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,7
2024-06-30,가창초등학교건너2,7111081300,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2024-06-30,가창초등학교앞,7111045900,승차,1,2,3,4,3,5,4,3,6,5,11,5,5,3,2,2,1,0,0,66
2024-06-30,가창초등학교앞,7111045900,하차,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-06-30,가천동건너,7061058600,승차,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,7
2024-06-30,가천동건너,7061058600,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
