년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-03-31,대곡주공2단지앞,7041021700,승차,11,24,69,58,49,42,42,37,30,25,22,24,24,19,10,9,5,2,0,503
2024-03-31,대곡주공2단지앞,7041021700,하차,0,0,4,3,1,2,1,2,1,1,2,2,2,3,3,2,1,1,0,32
2024-03-31,대곡주공5단지건너,7041059600,승차,0,2,5,5,5,3,2,3,3,3,2,2,3,2,3,0,0,0,0,43
2024-03-31,대곡주공5단지건너,7041059600,하차,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-03-31,대곡주공5단지앞,7041059500,승차,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,7
2024-03-31,대곡주공5단지앞,7041059500,하차,0,0,0,0,1,1,1,2,2,3,2,2,2,2,2,1,1,1,0,23
2024-03-31,대곡주공6단지앞,7041021100,승차,2,16,18,10,9,6,6,7,7,10,12,12,5,6,6,3,2,1,0,136
2024-03-31,대곡주공6단지앞,7041021100,하차,0,0,1,2,1,0,1,1,1,1,2,3,3,4,3,1,2,2,1,28
2024-03-31,대곡주공7단지앞,7041021000,승차,10,16,46,43,33,22,21,18,17,15,13,12,9,9,6,5,2,2,0,298
2024-03-31,대곡주공7단지앞,7041021000,하차,0,0,2,3,2,1,1,3,3,2,3,4,4,6,4,2,2,1,0,45
2024-03-31,대곡주공8단지건너,7041020600,승차,5,8,23,11,8,6,5,7,8,7,7,6,8,5,4,1,1,1,0,122
2024-03-31,대곡주공8단지건너,7041020600,하차,0,0,2,3,1,1,1,1,1,1,2,1,2,3,1,1,1,0,0,20
2024-03-31,대곡주공8단지앞,7041020700,승차,3,24,74,63,40,25,28,26,29,23,19,18,23,21,13,10,5,4,0,450
2024-03-31,대곡주공8단지앞,7041020700,하차,1,5,6,4,2,2,2,2,2,2,3,3,2,2,3,1,1,1,0,46
2024-03-31,대곡중학교건너,7041021400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-03-31,대곡중학교건너,7041021400,하차,0,0,2,2,1,0,1,1,1,1,1,1,1,2,0,0,1,0,0,14
2024-03-31,대곡중학교앞,7041021300,승차,0,1,2,6,6,5,5,3,3,4,1,2,1,2,1,0,0,0,0,42
2024-03-31,대곡청구아파트건너,7041062800,하차,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8
2024-03-31,대곡청구아파트앞,7041063800,승차,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,9
2024-03-31,대곡청구아파트앞,7041063800,하차,0,0,0,2,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,10
2024-03-31,대곡파출소1,7041061900,승차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
