년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-08-31,(구)현풍시외버스터미널,7111039200,승차,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-08-31,(주)성안건너,7021042100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-08-31,(주)성안건너,7021042100,하차,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11
2024-08-31,(주)영화건너,7111058300,하차,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-08-31,(주)영화앞,7111059100,승차,0,0,0,1,0,0,1,0,1,0,1,1,2,1,0,1,0,0,0,10
2024-08-31,1차서한화성타운건너,7041058600,승차,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
2024-08-31,1차서한화성타운건너,7041058600,하차,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,7
2024-08-31,1차서한화성타운앞,7041047200,승차,0,1,4,2,1,1,2,2,2,2,2,1,1,1,1,0,1,1,0,25
2024-08-31,1차서한화성타운앞,7041047200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2024-08-31,2.28기념중앙공원건너1,7001006900,승차,6,11,21,18,16,21,26,37,46,49,61,85,95,118,100,105,132,146,27,1120
2024-08-31,2.28기념중앙공원건너1,7001006900,하차,0,9,16,25,23,24,24,28,32,25,28,29,35,37,18,11,10,6,1,381
2024-08-31,2.28기념중앙공원건너2,7001011700,승차,0,1,4,7,7,7,9,9,10,14,13,16,16,18,14,14,15,11,0,186
2024-08-31,2.28기념중앙공원건너2,7001011700,하차,0,3,7,10,9,8,11,13,11,10,10,10,10,12,7,5,3,2,1,143
2024-08-31,2.28기념중앙공원앞,7001006800,승차,11,23,42,84,59,62,81,111,127,150,183,233,275,276,203,219,249,235,57,2681
2024-08-31,2.28기념중앙공원앞,7001006800,하차,3,10,21,54,32,31,32,37,37,34,37,37,44,46,22,13,10,8,2,511
2024-08-31,2차대자연맨션건너,7061035600,승차,0,2,4,4,5,3,3,3,3,3,2,3,2,3,2,1,1,1,0,43
2024-08-31,2차대자연맨션건너,7061035600,하차,0,0,1,2,2,2,2,2,2,3,3,3,3,3,2,1,2,2,1,36
2024-08-31,2차대자연맨션앞,7061009500,승차,7,6,27,37,31,22,19,20,17,18,16,16,17,17,9,6,4,3,0,293
2024-08-31,2차대자연맨션앞,7061009500,하차,0,0,1,2,3,3,5,3,3,3,2,3,3,2,2,1,0,0,0,38
2024-08-31,2차서한화성타운건너,7041003100,승차,14,39,103,122,88,66,67,59,60,51,58,55,57,53,32,27,20,15,0,987
2024-08-31,2차서한화성타운건너,7041003100,하차,1,3,3,7,7,5,5,5,6,5,5,6,7,8,6,5,3,4,1,93
2024-08-31,2차서한화성타운앞,7041003000,승차,7,19,37,42,31,22,21,21,25,20,29,28,31,34,22,17,16,14,4,440
2024-08-31,2차서한화성타운앞,7041003000,하차,1,4,5,7,5,5,7,7,6,7,10,12,15,19,14,11,9,10,5,162
2024-08-31,2호선반월당역1,7001001400,승차,1,3,6,8,8,11,12,20,21,29,38,52,57,64,56,60,60,60,4,570
