년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2025-11-30,우진아파트 앞,3600111600,승차,7,9,16,21,18,16,14,16,15,15,17,17,24,19,10,7,5,5,1
2025-11-30,우진아파트 앞,3600111600,하차,4,7,13,14,12,10,7,8,8,9,9,9,13,12,6,5,3,1,0
2025-11-30,중산삼거리(대구방향),3600113400,승차,0,2,22,11,9,6,7,8,6,6,5,7,8,8,4,3,2,2,0
2025-11-30,중산삼거리(대구방향),3600113400,하차,0,3,6,6,5,7,5,6,5,4,6,5,6,6,3,3,2,1,0
2025-11-30,대구대(정문2건너),3600116700,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,대구대(정문2건너),3600116700,하차,0,1,1,6,4,3,4,4,5,3,4,4,4,4,5,5,5,5,3
2025-11-30,신대부적지구 입구,3600125000,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,신대부적지구 입구,3600125000,하차,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
2025-11-30,구.압량초등학교,3600125100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,구.압량초등학교,3600125100,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,마위지근린공원,3600125200,승차,8,23,50,48,40,32,25,29,35,30,29,24,29,27,17,14,10,3,0
2025-11-30,마위지근린공원,3600125200,하차,0,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2025-11-30,경산병영유적지,3600125300,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,경산병영유적지 건너,3600125400,승차,0,0,1,0,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0
2025-11-30,경산병영유적지 건너,3600125400,하차,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2025-11-30,펜타힐즈서한이다음 앞,3600126600,승차,0,1,6,4,3,2,2,3,3,1,2,3,3,2,1,1,1,1,0
2025-11-30,펜타힐즈서한이다음 앞,3600126600,하차,1,1,4,4,2,2,2,3,2,1,2,2,3,2,1,1,1,1,0
2025-11-30,펜타힐즈서한이다음 건너,3600126700,승차,0,2,4,4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
2025-11-30,펜타힐즈서한이다음 건너,3600126700,하차,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,1,1
2025-11-30,마위지근린공원 건너,3600148400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,마위지근린공원 건너,3600148400,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,펜타힐즈푸르지오2차 정문,3600149600,승차,0,2,9,11,6,5,5,4,3,3,3,3,5,4,2,2,2,2,0
2025-11-30,펜타힐즈푸르지오2차 정문,3600149600,하차,0,1,0,1,0,1,1,1,1,1,1,1,2,2,1,0,1,1,0
2025-11-30,펜타힐즈더샵1차 북편,3600149700,승차,0,3,12,7,6,5,3,4,4,4,4,4,4,4,4,4,4,4,1
2025-11-30,펜타힐즈더샵1차 북편,3600149700,하차,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
2025-11-30,가천입구,3690000310,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,경북식당(앞),3690000490,승차,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
