년월,정류소명,승차,하차
2023-01-01,(구)현풍시외버스터미널,196,26
2023-01-01,(주)성안건너,31,162
2023-01-01,(주)영화건너,4,73
2023-01-01,(주)영화앞,441,0
2023-01-01,1차서한화성타운건너,185,131
2023-01-01,1차서한화성타운앞,597,97
2023-01-01,2.28기념중앙공원건너1,36730,10029
2023-01-01,2.28기념중앙공원건너2,4449,3446
2023-01-01,2.28기념중앙공원앞,79301,12328
2023-01-01,2차대자연맨션건너,1214,768
2023-01-01,2차대자연맨션앞,7242,883
2023-01-01,2차서한화성타운건너,28748,2257
2023-01-01,2차서한화성타운앞,13182,4232
2023-01-01,2호선반월당역1,16015,4243
2023-01-01,2호선반월당역2,9796,4182
2023-01-01,808종점,22,0
2023-01-01,CBS방송국건너,3756,2140
2023-01-01,CBS방송국앞,2916,1765
2023-01-01,CGV대구한일건너,68061,14905
2023-01-01,CGV대구한일앞,23683,2618
2023-01-01,DGB대구은행파크남편건너,1120,349
2023-01-01,DGB대구은행파크남편앞,902,420
2023-01-01,DGB대구은행파크동편건너,3371,4254
2023-01-01,DGB대구은행파크동편앞,3390,468
2023-01-01,e-편한세상월배건너,1110,113
2023-01-01,e-편한세상월배앞,262,190
2023-01-01,e편한세상대구금호건너,9077,82
2023-01-01,e편한세상대구금호앞,250,629
2023-01-01,IHL건너,8,33
2023-01-01,IHL앞,80,17
2023-01-01,K-2입구,1730,897
2023-01-01,K2관사입구(종점),663,90
2023-01-01,KT남대구지사건너1,7274,2819
2023-01-01,KT남대구지사건너2,2758,1596
2023-01-01,KT남대구지사앞1,16363,5984
2023-01-01,KT남대구지사앞2,1771,1833
2023-01-01,KT동대구지사건너,12911,14556
2023-01-01,KT동대구지사앞,11391,1413
2023-01-01,KT북대구지사건너,1260,231
2023-01-01,KT북대구지사앞,2499,466
2023-01-01,KT서대구지사건너,12904,3234
2023-01-01,KT서대구지사앞,10253,5748
2023-01-01,LG물류센터건너,3971,2453
2023-01-01,LG물류센터앞,6237,2727
2023-01-01,LH10단지아파트건너,12687,3114
2023-01-01,LH10단지아파트앞,1519,1949
2023-01-01,LH13단지아파트앞,2,3
2023-01-01,LH14단지아파트,1452,276
2023-01-01,LH천년나무2단지건너,72,184
2023-01-01,LH천년나무2단지앞,858,48
2023-01-01,NH농협혁신도시지점건너,6,164
2023-01-01,NH농협혁신도시지점앞,3243,556
2023-01-01,SD아이프라임강북아파트,5948,377
2023-01-01,SK리더스뷰건너,6609,1545
2023-01-01,SK리더스뷰앞,4001,1843
2023-01-01,STX메탈건너,921,3253
2023-01-01,STX메탈앞,29,1221
2023-01-01,TBC건너,11098,918
2023-01-01,TBC앞,3375,3477
2023-01-01,㈜윔스건너,98,317
2023-01-01,㈜윔스앞,232,28
2023-01-01,가산리,37,0
2023-01-01,가산면행정복지센터,14,3
2023-01-01,가좌삼거리,9,10
2023-01-01,가창119안전센터,448,100
2023-01-01,가창농협건너,2358,1926
2023-01-01,가창농협앞,8705,459
2023-01-01,가창댐,2,2
2023-01-01,가창댐1,12,63
2023-01-01,가창면행정복지센터건너,1976,1150
2023-01-01,가창면행정복지센터앞,5409,1005
2023-01-01,가창중학교건너,835,6
2023-01-01,가창중학교앞,60,210
2023-01-01,가창초등학교건너,1793,215
2023-01-01,가창초등학교건너2,93,75
2023-01-01,가창초등학교앞,1363,46
2023-01-01,가천동건너,106,13
2023-01-01,가천동앞,29,28
2023-01-01,가천리,1,2
2023-01-01,가천입구,2,0
2023-01-01,가태2리마을입구,20,0
2023-01-01,가태리마을회관건너,68,22
2023-01-01,가태리마을회관앞,11,0
2023-01-01,각산비나리공원건너,1436,248
2023-01-01,각산비나리공원앞,1879,217
2023-01-01,각산역(1번출구),2912,1120
2023-01-01,각산역(2번출구),1130,1592
2023-01-01,각산태영데시앙건너,3607,3134
2023-01-01,각산푸르지오,2660,1512
2023-01-01,갈실마을회관종점,236,10
2023-01-01,감문1리1,3,4
2023-01-01,감문1리2,150,0
2023-01-01,감문1리3,0,8
2023-01-01,감문1리4,2,0
2023-01-01,감문리(삼실)건너,47,0
2023-01-01,감문리(삼실)앞,2,18
2023-01-01,감삼네거리1,9061,4681
2023-01-01,감삼역(3번출구),26482,12307
2023-01-01,감삼초등학교건너,5053,1280
2023-01-01,감삼초등학교앞,4292,1300
2023-01-01,갓골건너,229,0
2023-01-01,갓골앞,2,53
2023-01-01,갓바위,8689,734
2023-01-01,강남약국건너,35518,8356
2023-01-01,강남약국앞1,23800,6814
2023-01-01,강남약국앞2,6542,896
2023-01-01,강동중·고등학교,4,53
2023-01-01,강동중·고등학교건너,624,2
2023-01-01,강동초교건너,454,2
2023-01-01,강동초교앞,3,54
2023-01-01,강변동서마을건너,3668,179
2023-01-01,강변동서마을앞,2837,1366
2023-01-01,강북경찰서건너,1669,2565
2023-01-01,강북경찰서앞,7095,667
2023-01-01,강북소방서건너,1173,1072
2023-01-01,강북소방서앞,9682,1153
2023-01-01,강북중학교건너,521,872
2023-01-01,강북중학교앞,4446,106
2023-01-01,강산아파트건너,4313,8067
2023-01-01,강산아파트앞,6252,3722
2023-01-01,강서소방서건너,281,4132
2023-01-01,강서소방서앞,3363,56
2023-01-01,강정(종점),20,4
2023-01-01,강정보(디아크문화관)건너,4,12
2023-01-01,강정보(디아크문화관)입구,167,14
2023-01-01,강창교1(성서방향),2245,262
2023-01-01,강창교2(다사방향),117,861
2023-01-01,강창역(1번출구),4482,1643
2023-01-01,강창역(2번출구),18898,831
2023-01-01,강창하이츠,7467,318
2023-01-01,거동교1,2656,1405
2023-01-01,거동교2,1510,852
2023-01-01,건들바위건너,895,758
2023-01-01,건들바위앞,242,622
2023-01-01,건영아파트건너,3953,4925
2023-01-01,건영캐스빌건너,6181,1295
2023-01-01,건영캐스빌앞,3655,1681
2023-01-01,검단동대구축협앞,2692,27
2023-01-01,검단동행정복지센터1,965,15
2023-01-01,검단동행정복지센터2,2,674
2023-01-01,검단동행정복지센터건너,8170,52
2023-01-01,검단동행정복지센터앞,12,742
2023-01-01,검단상가아파트건너,1,16
2023-01-01,검단상가아파트앞,379,1
2023-01-01,검단유성아파트(서편),6070,1724
2023-01-01,검단유성아파트건너,3412,1206
2023-01-01,검단유성아파트앞,12636,3013
2023-01-01,경기장네거리1,3251,751
2023-01-01,경기장네거리2,2753,350
2023-01-01,경남신성A,5670,592
2023-01-01,경남신성A 건너,2672,1819
2023-01-01,경대교2,5677,682
2023-01-01,경대교건너,573,66
2023-01-01,경대교앞,1136,1116
2023-01-01,경대사대부설고등학교앞,14417,7741
2023-01-01,경덕여고,808,648
2023-01-01,경동산업앞,26,2
2023-01-01,경명여고건너,1727,505
2023-01-01,경명여고앞,1802,1171
2023-01-01,경북고등학교건너,5487,3592
2023-01-01,경북고등학교앞,9801,1129
2023-01-01,경북공고건너,4296,3468
2023-01-01,경북공고앞,5335,3706
2023-01-01,경북교통,2903,7604
2023-01-01,경북교통앞,3164,2389
2023-01-01,경북기계공고건너,2841,3065
2023-01-01,경북기계공고앞,3607,3362
2023-01-01,경북농업기술원건너,27,51
2023-01-01,경북농업기술원앞,6,2
2023-01-01,경북농업기술원입구,39,25
2023-01-01,경북대체육센터건너,11519,738
2023-01-01,경북대체육센터앞,2848,6086
2023-01-01,경북대학교 경상대학건너,3177,3494
2023-01-01,경북대학교 경상대학앞,15785,2823
2023-01-01,경북대학교병원건너,11291,6821
2023-01-01,경북대학교병원앞,22913,4992
2023-01-01,경북대학교북문건너,35262,3002
2023-01-01,경북대학교북문앞,18278,7643
2023-01-01,경북대학교서문건너,4095,1508
2023-01-01,경북대학교서문앞,2361,2032
2023-01-01,경북대학교정문건너,6250,4902
2023-01-01,경북대학교정문앞,19872,5604
2023-01-01,경북대학교체육센터건너2,628,318
2023-01-01,경북대학교치과병원,17437,9381
2023-01-01,경북식당(앞),113,0
2023-01-01,경북아파트건너(신천동),2675,11881
2023-01-01,경북아파트앞(신천동),5397,2231
2023-01-01,경북예고건너,5854,7113
2023-01-01,경북예고앞,12162,2776
2023-01-01,경북크랑크,1917,183
2023-01-01,경산경찰서,95,95
2023-01-01,경산네거리(대구방향),8711,211
2023-01-01,경산보건소,8,84
2023-01-01,경산시외버스정류장 건너(국민은행),6702,5045
2023-01-01,경산시외버스정류장(세명병원),7520,1523
2023-01-01,경산시장,14967,5880
2023-01-01,경산시장 건너(대구은행),16287,3463
2023-01-01,경산시청별관 건너,231,176
2023-01-01,경산시청별관(경산농협),284,487
2023-01-01,경산중고등학교 앞,877,31
2023-01-01,경산중앙병원후문,2899,51
2023-01-01,경상감영공원건너,60697,9839
2023-01-01,경상감영공원앞,61773,42923
2023-01-01,경상북도농업인회관,0,9
2023-01-01,경상북도인재개발원1,3,20
2023-01-01,경상북도인재개발원2,0,2
2023-01-01,경상여자고등학교건너,2621,516
2023-01-01,경상여자고등학교앞,4535,3627
