년월,정류소명,승차,하차
2021-01-01,(구)현풍시외버스터미널,160,34
2021-01-01,(주)성안건너,38,157
2021-01-01,(주)영화건너,1,71
2021-01-01,(주)영화앞,460,1
2021-01-01,1차서한화성타운건너,120,106
2021-01-01,1차서한화성타운앞,383,68
2021-01-01,2.28기념중앙공원건너1,32116,7243
2021-01-01,2.28기념중앙공원건너2,3630,2760
2021-01-01,2.28기념중앙공원앞,65375,8846
2021-01-01,2차대자연맨션건너,997,433
2021-01-01,2차대자연맨션앞,6286,770
2021-01-01,2차서한화성타운건너,24467,1710
2021-01-01,2차서한화성타운앞,11929,3098
2021-01-01,2호선반월당역1,14265,2954
2021-01-01,2호선반월당역2,8283,3004
2021-01-01,808종점,110,0
2021-01-01,CBS방송국건너,3194,1643
2021-01-01,CBS방송국앞,2382,1152
2021-01-01,CGV대구한일건너,61598,11852
2021-01-01,CGV대구한일앞,17353,1769
2021-01-01,DGB대구은행파크남편건너,575,203
2021-01-01,DGB대구은행파크남편앞,706,291
2021-01-01,DGB대구은행파크동편건너,2619,3087
2021-01-01,DGB대구은행파크동편앞,2228,276
2021-01-01,e-편한세상월배건너,594,58
2021-01-01,e-편한세상월배앞,106,109
2021-01-01,e편한세상대구금호건너,7873,45
2021-01-01,e편한세상대구금호앞,239,348
2021-01-01,IHL건너,2,16
2021-01-01,IHL앞,22,1
2021-01-01,K-2입구,1038,566
2021-01-01,K2관사입구(종점),955,145
2021-01-01,KT남대구지사건너1,7060,2207
2021-01-01,KT남대구지사건너2,2694,983
2021-01-01,KT남대구지사앞1,15143,5283
2021-01-01,KT남대구지사앞2,1435,1768
2021-01-01,KT동대구지사건너,10899,10881
2021-01-01,KT동대구지사앞,10113,1300
2021-01-01,KT북대구지사건너,1058,138
2021-01-01,KT북대구지사앞,2367,390
2021-01-01,KT서대구지사건너,11481,2172
2021-01-01,KT서대구지사앞,8527,4235
2021-01-01,LG물류센터건너,2958,2164
2021-01-01,LG물류센터앞,4789,2053
2021-01-01,LH10단지아파트건너,102,1763
2021-01-01,LH10단지아파트앞,29,646
2021-01-01,LH13단지아파트앞,2,5
2021-01-01,LH14단지아파트,1069,196
2021-01-01,LH천년나무2단지건너,6444,394
2021-01-01,LH천년나무2단지앞,1877,434
2021-01-01,NH농협혁신도시지점건너,4,155
2021-01-01,NH농협혁신도시지점앞,2601,321
2021-01-01,SD아이프라임강북아파트,3401,428
2021-01-01,SK리더스뷰건너,5994,1091
2021-01-01,SK리더스뷰앞,3265,1445
2021-01-01,STX메탈건너,920,2881
2021-01-01,STX메탈앞,24,777
2021-01-01,TBC건너,9829,692
2021-01-01,TBC앞,2661,2340
2021-01-01,㈜윔스건너,78,324
2021-01-01,㈜윔스앞,219,28
2021-01-01,가산리,6,0
2021-01-01,가산면행정복지센터,6,2
2021-01-01,가좌삼거리,2,18
2021-01-01,가창119안전센터,395,79
2021-01-01,가창농협건너,1992,1726
2021-01-01,가창농협앞,7180,333
2021-01-01,가창댐,5,4
2021-01-01,가창댐1,3,57
2021-01-01,가창면행정복지센터건너,1901,912
2021-01-01,가창면행정복지센터앞,4949,741
2021-01-01,가창중학교건너,535,1
2021-01-01,가창중학교앞,22,124
2021-01-01,가창초등학교건너,1935,199
2021-01-01,가창초등학교앞,684,69
2021-01-01,가천동건너,124,11
2021-01-01,가천동앞,6,8
2021-01-01,가천리,4,4
2021-01-01,가천입구,2,0
2021-01-01,가천입구건너,2,0
2021-01-01,가태2리마을입구,12,0
2021-01-01,가태리마을회관건너,53,9
2021-01-01,가태리마을회관앞,7,0
2021-01-01,각산비나리공원건너,948,154
2021-01-01,각산비나리공원앞,1552,131
2021-01-01,각산역(1번출구),2803,873
2021-01-01,각산역(2번출구),1225,1268
2021-01-01,각산태영데시앙건너,2385,3191
2021-01-01,각산푸르지오,1729,972
2021-01-01,갈실마을회관종점,441,47
2021-01-01,감문1리1,1,6
2021-01-01,감문1리2,148,0
2021-01-01,감문1리3,0,4
2021-01-01,감문1리4,6,0
2021-01-01,감문리(삼실)건너,20,0
2021-01-01,감문리(삼실)앞,9,41
2021-01-01,감삼네거리1,8623,3610
2021-01-01,감삼역(3번출구),24775,11016
2021-01-01,감삼초등학교건너,3968,1058
2021-01-01,감삼초등학교앞,3975,1030
2021-01-01,갓골건너,138,0
2021-01-01,갓골앞,0,14
2021-01-01,갓바위,8738,537
2021-01-01,강남약국건너,32102,6863
2021-01-01,강남약국앞1,20531,5517
2021-01-01,강남약국앞2,6216,742
2021-01-01,강동중·고등학교,1,30
2021-01-01,강동중·고등학교건너,409,1
2021-01-01,강동초교건너,385,2
2021-01-01,강동초교앞,5,42
2021-01-01,강변동서마을건너,3159,116
2021-01-01,강변동서마을앞,2463,1017
2021-01-01,강북경찰서건너,1089,1280
2021-01-01,강북경찰서앞,3803,400
2021-01-01,강북소방서건너,1032,695
2021-01-01,강북소방서앞,8868,695
2021-01-01,강북중학교건너,345,669
2021-01-01,강북중학교앞,4274,71
2021-01-01,강산아파트건너,3517,7335
2021-01-01,강산아파트앞,4375,2231
2021-01-01,강서소방서건너,226,3197
2021-01-01,강서소방서앞,3219,42
2021-01-01,강정(종점),11,4
2021-01-01,강정보(디아크문화관)건너,1,7
2021-01-01,강정보(디아크문화관)입구,128,7
2021-01-01,강창교1(성서방향),2281,187
2021-01-01,강창교2(다사방향),85,921
2021-01-01,강창역(1번출구),4232,1156
2021-01-01,강창역(2번출구),16855,613
2021-01-01,강창하이츠,6292,296
2021-01-01,거동교1,1903,1147
2021-01-01,거동교2,1147,396
2021-01-01,건들바위건너,609,518
2021-01-01,건들바위앞,189,554
2021-01-01,건영아파트건너,3713,4732
2021-01-01,건영캐스빌건너,6169,1084
2021-01-01,건영캐스빌앞,3502,1122
2021-01-01,검단동대구축협앞,2575,15
2021-01-01,검단동행정복지센터1,692,28
2021-01-01,검단동행정복지센터2,2,416
2021-01-01,검단동행정복지센터건너,6167,56
2021-01-01,검단동행정복지센터앞,34,482
2021-01-01,검단상가아파트건너,174,71
2021-01-01,검단상가아파트앞,304,0
2021-01-01,검단유성아파트(서편),5475,1142
2021-01-01,검단유성아파트건너,2981,1063
2021-01-01,검단유성아파트앞,11273,2489
2021-01-01,경기장네거리1,2344,627
2021-01-01,경기장네거리2,2192,155
2021-01-01,경남신성A,4714,5175
2021-01-01,경남신성A 건너,2111,1224
2021-01-01,경대교2,4339,511
2021-01-01,경대교건너,534,79
2021-01-01,경대교앞,1529,916
2021-01-01,경대사대부설고등학교앞,12447,5700
2021-01-01,경덕여고,831,585
2021-01-01,경동산업앞,31,1
2021-01-01,경명여고건너,968,395
2021-01-01,경명여고앞,1275,937
2021-01-01,경북고등학교건너,4877,2580
2021-01-01,경북고등학교앞,8597,937
2021-01-01,경북공고건너,3377,2838
2021-01-01,경북공고앞,4427,2879
2021-01-01,경북교통,1844,5957
2021-01-01,경북교통앞,2415,2088
2021-01-01,경북기계공고건너,4572,3269
2021-01-01,경북기계공고앞,3928,2763
2021-01-01,경북농업기술원건너,14,22
2021-01-01,경북농업기술원앞,2,1
2021-01-01,경북농업기술원입구,18,20
2021-01-01,경북대체육센터건너,8962,596
2021-01-01,경북대체육센터앞,10375,6177
2021-01-01,경북대학교 경상대학건너,3195,2084
2021-01-01,경북대학교 경상대학앞,13496,2445
2021-01-01,경북대학교병원건너,10576,5157
2021-01-01,경북대학교병원앞,20475,3591
2021-01-01,경북대학교북문건너,33082,2059
2021-01-01,경북대학교북문앞,7388,4252
2021-01-01,경북대학교서문건너,3739,1242
2021-01-01,경북대학교서문앞,2200,1236
2021-01-01,경북대학교정문건너,5817,3570
2021-01-01,경북대학교정문앞,16918,4414
2021-01-01,경북대학교체육센터건너2,453,307
2021-01-01,경북대학교치과병원,14768,6612
2021-01-01,경북식당(앞),64,0
2021-01-01,경북아파트건너(신천동),2537,9936
2021-01-01,경북아파트앞(신천동),4592,1997
2021-01-01,경북예고건너,5229,6116
2021-01-01,경북예고앞,11741,1883
2021-01-01,경북크랑크,2385,85
2021-01-01,경산경찰서,33,46
2021-01-01,경산네거리(대구방향),8723,181
2021-01-01,경산보건소,6,47
2021-01-01,경산시외버스정류장 건너(국민은행),5703,4311
2021-01-01,경산시외버스정류장(세명병원),6039,1010
2021-01-01,경산시장,142,1411
2021-01-01,경산시장 건너(대구은행),13356,2463
2021-01-01,경산시청별관 건너,162,97
2021-01-01,경산시청별관(경산농협),282,449
2021-01-01,경산중고등학교 앞,386,24
2021-01-01,경산중앙병원후문,2456,39
2021-01-01,경상감영공원건너,46292,8334
2021-01-01,경상감영공원앞,53060,33660
2021-01-01,경상북도농업인회관,1,3
2021-01-01,경상북도인재개발원1,5,0
2021-01-01,경상북도인재개발원2,0,9
2021-01-01,경상여자고등학교건너,2807,369
2021-01-01,경상여자고등학교앞,3822,3485
2021-01-01,경신고등학교건너,37478,5226
2021-01-01,경신고등학교앞,33004,6518
2021-01-01,경운대종점,1,9
2021-01-01,경운대학입구,122,0
2021-01-01,경운초등학교건너,1188,580
2021-01-01,경운초등학교앞,2684,915
2021-01-01,경원고등학교건너,529,141
2021-01-01,경원고등학교앞,627,43
2021-01-01,경일·호산대학교(대구방향),5862,321
2021-01-01,경일대정문,767,61
2021-01-01,경일대정문 건너,23,218
2021-01-01,경일대종점,46,3
2021-01-01,경일대종점 건너,1768,212
2021-01-01,경일여자고등학교건너,9499,1422
2021-01-01,경일여자고등학교앞,2131,1614
2021-01-01,경주최씨종가(종점),236,4
2021-01-01,경주최씨종가1,1,1
2021-01-01,경주최씨종가2,8,1
2021-01-01,경진초등학교앞,8841,874
2021-01-01,경창산업,1181,240
2021-01-01,경희강재건너,425,610
2021-01-01,경희강재앞,1476,64
2021-01-01,계당리(금호경계),117,20
2021-01-01,계당초교입구,189,5
2021-01-01,계당초교입구건너,9,28
2021-01-01,계명대대명캠퍼스후문건너,2237,573
2021-01-01,계명대역(1번출구),867,1498
2021-01-01,계명대역(2번출구),3006,3952
2021-01-01,계명대역(3번출구),8216,1084
2021-01-01,계명대역(4번출구),2279,3149
2021-01-01,계명대학교 대구동산병원앞1,11076,2504
2021-01-01,계명대학교 대구동산병원앞2,4488,3833
2021-01-01,계명대학교대명캠퍼스건너,7814,3156
2021-01-01,계명대학교대명캠퍼스앞,7524,5113
2021-01-01,계명대학교대명캠퍼스후문앞,1712,604
2021-01-01,계명대학교동문건너1,7120,965
2021-01-01,계명대학교동문건너2,23066,6281
2021-01-01,계명대학교동문앞,13015,5315
2021-01-01,계명대학교동산병원건너,8046,468
2021-01-01,계명대학교동산병원앞,1698,1784
2021-01-01,계명대학교정문건너,9560,987
2021-01-01,계명대학교정문앞,1782,2206
2021-01-01,계명문화대학건너,7806,1322
2021-01-01,계명문화대학앞,5652,17144
2021-01-01,계양네거리(자인방향),16,139
2021-01-01,계양주공아파트 건너,1550,13
2021-01-01,계양주공아파트 앞,19,145
2021-01-01,고래들공원건너,536,40
2021-01-01,고래들공원앞,96,68
2021-01-01,고모동입구,5014,3171
2021-01-01,고모역건너,354,96
2021-01-01,고모역앞,8,45
2021-01-01,고봉리,62,0
2021-01-01,고봉리2,108,6
2021-01-01,고산2동행정복지센터건너,6916,2572
2021-01-01,고산2동행정복지센터앞,11302,453
2021-01-01,고산골입구,3056,526
2021-01-01,고산농협창고건너,567,126
2021-01-01,고산농협창고앞,195,2261
2021-01-01,고산도서관,11359,3778
2021-01-01,고산역화성파크드림건너,10279,2365
2021-01-01,고산역화성파크드림앞,7826,2734
2021-01-01,고산정수사업소건너,1441,334
2021-01-01,고성아파트(서편),3646,2598
2021-01-01,고성아파트건너,650,19
2021-01-01,고성아파트건너(서편),1050,1598
2021-01-01,고성아파트앞,69,120
2021-01-01,고성지구대1,523,472
2021-01-01,고성지구대2,1014,1161
2021-01-01,골안골,5,39
2021-01-01,골안골지하보도앞,15,447
2021-01-01,공고네거리1,15430,8408
2021-01-01,공고네거리2,6363,2265
2021-01-01,공군기지관사입구,3,43
2021-01-01,공단역1,10026,5596
2021-01-01,공단역2,14288,5779
2021-01-01,공단하수처리장건너,25,584
2021-01-01,공단하수처리장앞,125,27
2021-01-01,공산댐건너,835,122
2021-01-01,공산댐앞,3,41
2021-01-01,공산동행정복지센터건너,459,429
2021-01-01,공산동행정복지센터앞,3535,99
2021-01-01,공산초등학교건너,108,57
2021-01-01,공산초등학교앞,1447,49
2021-01-01,공산파출소,73,237
2021-01-01,공작한양아파트건너,6,57
2021-01-01,공작한양아파트앞,240,7
2021-01-01,공항시장건너,7435,660
2021-01-01,공항시장앞,2260,1675
2021-01-01,과학마을청아람앞,6105,110
2021-01-01,곽병원건너,29242,16763
2021-01-01,곽병원앞1,15110,6557
2021-01-01,곽병원앞2,7352,2318
2021-01-01,관리공단,200,56
2021-01-01,관문동행정복지센터 금호분소 건너,32,9
2021-01-01,관문동행정복지센터 금호분소앞,164,444
2021-01-01,관음공영주차장앞,1042,120
2021-01-01,관음농협앞,897,122
2021-01-01,관음동행정복지센터건너,508,99
2021-01-01,관음동행정복지센터앞,856,90
2021-01-01,관음변전소1,2878,100
2021-01-01,관음변전소2,84,414
2021-01-01,관음변전소3,1112,155
2021-01-01,관음변전소4,8,13
2021-01-01,관음어린이집,832,144
2021-01-01,관음중학교(북편),835,138
2021-01-01,광명프레지던트아파트건너,6467,3506
2021-01-01,광장타운건너,7131,2104
2021-01-01,광장타운앞,7942,2050
2021-01-01,교대부설초등학교건너,2903,371
2021-01-01,교대부설초등학교앞,38,642
2021-01-01,교동시장앞,2420,751
2021-01-01,교동초등학교건너,556,100
2021-01-01,교동초등학교앞,1207,169
2021-01-01,교통연수원,4555,366
2021-01-01,교통연수원건너,1744,294
2021-01-01,교항2리마을입구,1,87
2021-01-01,교항2리회관,143,8
2021-01-01,교항리건너,7684,267
2021-01-01,교항리마을입구건너,3,1
2021-01-01,교항리앞,1078,1343
2021-01-01,구)대영학원건너,10497,2681
2021-01-01,구)대영학원앞,13375,6215
2021-01-01,구.남부정류장건너2,4560,3252
2021-01-01,구.남부정류장앞1,12095,2869
2021-01-01,구.남부정류장앞2,1774,1129
2021-01-01,구.동부정류장(메트로팔레스),6213,2665
2021-01-01,구덕네거리(상행),8,4
2021-01-01,구덕네거리(하행),0,1
2021-01-01,구덕리(마을회관앞),1,12
2021-01-01,구덕리동명저수지앞,1,5
2021-01-01,구둔산,326,4
2021-01-01,구라1리1,0,5
2021-01-01,구라3리1,2,3
