년월,정류소명,승차,하차
2022-01-01,경남신성A 건너,2526,1956
2022-01-01,경대교2,5053,641
2022-01-01,경대교건너,561,90
2022-01-01,경대교앞,1492,1158
2022-01-01,경대사대부설고등학교앞,13438,7472
2022-01-01,경덕여고,839,688
2022-01-01,경동산업앞,55,0
2022-01-01,경명여고건너,1632,498
2022-01-01,경명여고앞,1589,1151
2022-01-01,경북고등학교건너,6013,3401
2022-01-01,경북고등학교앞,10079,1249
2022-01-01,경북공고건너,4197,3643
2022-01-01,경북공고앞,5612,3589
2022-01-01,경북교통,2308,7347
2022-01-01,경북교통앞,2739,2375
2022-01-01,경북기계공고건너,3257,3840
2022-01-01,경북기계공고앞,3948,3415
2022-01-01,경북농업기술원건너,30,50
2022-01-01,경북농업기술원앞,6,2
2022-01-01,경북농업기술원입구,33,59
2022-01-01,경북대체육센터건너,10091,685
2022-01-01,경북대체육센터앞,11564,8584
2022-01-01,경북대학교 경상대학건너,3126,3143
2022-01-01,경북대학교 경상대학앞,15461,2893
2022-01-01,경북대학교병원건너,10938,6814
2022-01-01,경북대학교병원앞,23301,4870
2022-01-01,경북대학교북문건너,36409,2836
2022-01-01,경북대학교북문앞,7516,4975
2022-01-01,경북대학교서문건너,4466,1368
2022-01-01,경북대학교서문앞,2210,1931
2022-01-01,경북대학교정문건너,6358,5010
2022-01-01,경북대학교정문앞,19559,5298
2022-01-01,경북대학교체육센터건너2,490,391
2022-01-01,경북대학교치과병원,16486,9031
2022-01-01,경북식당(앞),124,0
2022-01-01,경북아파트건너(신천동),2571,11282
2022-01-01,경북아파트앞(신천동),5070,2189
2022-01-01,경북예고건너,6249,7036
2022-01-01,경북예고앞,13352,2489
2022-01-01,경북크랑크,2178,158
2022-01-01,경산경찰서,93,78
2022-01-01,경산네거리(대구방향),9441,299
2022-01-01,경산보건소,8,60
2022-01-01,경산시외버스정류장 건너(국민은행),6167,5577
2022-01-01,경산시외버스정류장(세명병원),7547,1493
2022-01-01,경산시장,14829,5479
2022-01-01,경산시장 건너(대구은행),14867,3384
2022-01-01,경산시청별관 건너,157,164
2022-01-01,경산시청별관(경산농협),237,469
2022-01-01,경산중고등학교 앞,859,28
2022-01-01,경산중앙병원후문,2631,45
2022-01-01,경상감영공원건너,59595,10235
2022-01-01,경상감영공원앞,58425,40963
2022-01-01,경상북도농업인회관,0,7
2022-01-01,경상북도인재개발원1,6,7
2022-01-01,경상여자고등학교건너,2804,592
2022-01-01,경상여자고등학교앞,4330,3870
2022-01-01,경신고등학교건너,41401,5756
2022-01-01,경신고등학교앞,37899,8395
2022-01-01,경운대종점,2,17
2022-01-01,경운대학입구,148,0
2022-01-01,경운초등학교건너,1361,959
2022-01-01,경운초등학교앞,3113,1124
2022-01-01,경원고등학교건너,596,164
2022-01-01,경원고등학교앞,548,97
2022-01-01,경일·호산대학교(대구방향),3456,245
2022-01-01,경일대정문,1287,101
2022-01-01,경일대정문 건너,35,275
2022-01-01,경일대종점,102,9
2022-01-01,경일대종점 건너,2498,427
2022-01-01,경일여자고등학교건너,13010,1678
2022-01-01,경일여자고등학교앞,2943,2577
2022-01-01,경주최씨종가(종점),318,15
2022-01-01,경주최씨종가1,4,1
2022-01-01,경주최씨종가2,11,1
2022-01-01,경진초등학교앞,10161,1055
2022-01-01,경창산업,1428,273
2022-01-01,경희강재건너,519,676
2022-01-01,경희강재앞,1582,114
2022-01-01,계당리(금호경계),186,9
2022-01-01,계당초교입구,278,7
2022-01-01,계당초교입구건너,17,44
2022-01-01,계명대대명캠퍼스후문건너,2829,825
2022-01-01,계명대역(1번출구),974,1837
2022-01-01,계명대역(2번출구),2937,3839
2022-01-01,계명대역(3번출구),9237,1628
2022-01-01,계명대역(4번출구),2481,3412
2022-01-01,계명대학교 대구동산병원앞1,12762,3037
2022-01-01,계명대학교 대구동산병원앞2,4880,4528
2022-01-01,계명대학교대명캠퍼스건너,8579,4088
2022-01-01,계명대학교대명캠퍼스앞,8668,6045
2022-01-01,계명대학교대명캠퍼스후문앞,1795,1255
2022-01-01,계명대학교동문건너1,8485,1145
2022-01-01,계명대학교동문건너2,25541,7046
2022-01-01,계명대학교동문앞,14248,6454
2022-01-01,계명대학교동산병원건너,8775,567
2022-01-01,계명대학교동산병원앞,1827,2443
2022-01-01,계명대학교정문건너,9470,1096
2022-01-01,계명대학교정문앞,1934,3036
2022-01-01,계명문화대학건너,7903,1570
2022-01-01,계명문화대학앞,6042,18269
2022-01-01,계양네거리(자인방향),49,166
2022-01-01,계양주공아파트 건너,1619,6
2022-01-01,계양주공아파트 앞,26,244
2022-01-01,고래들공원건너,626,65
2022-01-01,고래들공원앞,197,133
2022-01-01,고모동입구,6003,3908
2022-01-01,고모역건너,313,99
2022-01-01,고모역앞,6,36
2022-01-01,고봉리,49,1
2022-01-01,고봉리2,171,1
2022-01-01,고산2동행정복지센터건너,7749,3586
2022-01-01,고산2동행정복지센터앞,12953,685
2022-01-01,고산골입구,3604,749
