년월,정류소명,승차,하차
2020-01-01,(주)성안건너,35,187
2020-01-01,(주)영화건너,4,113
2020-01-01,(주)영화앞,482,0
2020-01-01,1차서한화성타운건너,194,159
2020-01-01,1차서한화성타운앞,660,92
2020-01-01,2.28기념중앙공원건너1,45301,10351
2020-01-01,2.28기념중앙공원건너2,7063,4271
2020-01-01,2.28기념중앙공원앞,83325,12146
2020-01-01,2차대자연맨션건너,1666,797
2020-01-01,2차대자연맨션앞,9873,1173
2020-01-01,2차서한화성타운건너,35513,2098
2020-01-01,2차서한화성타운앞,15938,4266
2020-01-01,2호선반월당역1,20931,4072
2020-01-01,2호선반월당역2,12074,3992
2020-01-01,CBS방송국건너,4708,2409
2020-01-01,CBS방송국앞,3038,1665
2020-01-01,CGV대구한일건너,88275,17416
2020-01-01,CGV대구한일앞,29701,3196
2020-01-01,CMB대구방송,1978,1235
2020-01-01,DGB대구은행파크남편건너,895,329
2020-01-01,DGB대구은행파크남편앞,1045,488
2020-01-01,DGB대구은행파크동편건너,2866,4310
2020-01-01,DGB대구은행파크동편앞,2777,481
2020-01-01,e-편한세상월배건너,908,109
2020-01-01,e-편한세상월배앞,90,107
2020-01-01,e편한세상대구금호건너,11281,69
2020-01-01,e편한세상대구금호앞,234,397
2020-01-01,IHL건너,1,9
2020-01-01,IHL앞,69,1
2020-01-01,K-2입구,3369,1054
2020-01-01,K2관사입구(종점),1374,109
2020-01-01,KT남대구지사건너1,8940,3735
2020-01-01,KT남대구지사건너2,3223,1291
2020-01-01,KT남대구지사앞1,20543,7072
2020-01-01,KT남대구지사앞2,1829,2236
2020-01-01,KT동대구지사건너,27038,16752
2020-01-01,KT동대구지사앞,12896,2052
2020-01-01,KT북대구지사건너,1567,239
2020-01-01,KT북대구지사앞,3488,438
2020-01-01,KT상동지사건너,2075,281
2020-01-01,KT상동지사앞,817,630
2020-01-01,KT서대구지사건너,16972,3251
2020-01-01,KT서대구지사앞,11700,5837
2020-01-01,LG물류센터건너,3606,2803
2020-01-01,LG물류센터앞,4797,3255
2020-01-01,LH10단지아파트건너,183,3425
2020-01-01,LH10단지아파트앞,27,560
2020-01-01,LH14단지아파트,2285,419
2020-01-01,LH5단지아파트건너,1800,424
2020-01-01,LH5단지아파트앞,997,117
2020-01-01,LH5단지아파트후문앞,317,789
2020-01-01,LH천년나무2단지건너,9070,431
2020-01-01,LH천년나무2단지앞,1752,563
2020-01-01,NH농협혁신도시지점건너,8,152
2020-01-01,NH농협혁신도시지점앞,3461,318
2020-01-01,SD아이프라임강북아파트,4565,573
2020-01-01,SK리더스뷰건너,7589,1631
2020-01-01,SK리더스뷰앞,4515,1921
2020-01-01,STX메탈건너,1154,3466
2020-01-01,STX메탈앞,14,903
2020-01-01,TBC건너,12794,973
2020-01-01,TBC앞,3049,3419
2020-01-01,㈜윔스건너,54,319
2020-01-01,㈜윔스앞,285,36
2020-01-01,가창농협건너,2667,2564
2020-01-01,가창농협앞,10205,490
2020-01-01,가창댐,4,3
2020-01-01,가창댐1,11,76
2020-01-01,가창면사무소건너,3146,1340
2020-01-01,가창면사무소앞,6524,1012
2020-01-01,가창중학교건너,747,4
2020-01-01,가창중학교앞,54,105
2020-01-01,가창초등학교건너,2906,271
2020-01-01,가창초등학교앞,1190,65
2020-01-01,가천동건너,117,27
2020-01-01,가천동앞,98,40
2020-01-01,가천리,6,34
2020-01-01,가태2리마을입구,36,0
2020-01-01,가태리마을회관건너,76,6
2020-01-01,가태리마을회관앞,4,0
2020-01-01,각산비나리공원건너,1068,172
2020-01-01,각산비나리공원앞,1898,139
2020-01-01,각산역(1번출구),3771,1116
2020-01-01,각산역(2번출구),1460,1566
2020-01-01,각산푸르지오건너,4335,2729
2020-01-01,각산푸르지오앞,2108,1274
2020-01-01,갈실마을회관종점,366,8
2020-01-01,감문1리1,0,3
2020-01-01,감문1리2,201,2
2020-01-01,감문1리3,1,6
2020-01-01,감문1리4,5,0
2020-01-01,감문리(삼실)건너,40,0
2020-01-01,감문리(삼실)앞,17,20
2020-01-01,감삼네거리1,12052,4770
2020-01-01,감삼네거리2,32759,16042
2020-01-01,감삼초등학교건너,6721,1538
2020-01-01,감삼초등학교앞,5998,1397
2020-01-01,갓골건너,129,0
2020-01-01,갓골앞,1,22
2020-01-01,갓바위,12531,665
2020-01-01,강남약국건너,41913,10341
2020-01-01,강남약국앞1,29918,7512
2020-01-01,강남약국앞2,9154,1412
2020-01-01,강동중·고등학교,3,58
2020-01-01,강동중·고등학교건너,866,3
2020-01-01,강동초교건너,397,3
2020-01-01,강동초교앞,8,78
2020-01-01,강변동서마을건너,4346,355
2020-01-01,강변동서마을앞,3511,1585
2020-01-01,강북경찰서건너,1326,1540
2020-01-01,강북경찰서앞,4635,415
2020-01-01,강북중학교건너,507,841
2020-01-01,강북중학교앞,5746,98
2020-01-01,강산아파트건너,4117,9171
2020-01-01,강산아파트앞,4432,1483
2020-01-01,강정(종점),11,11
2020-01-01,강정보(디아크문화관)건너,5,6
2020-01-01,강정보(디아크문화관)입구,181,15
2020-01-01,강창교1,2642,323
2020-01-01,강창교2,131,1082
2020-01-01,강창역(1번출구),5568,1523
2020-01-01,강창역(2번출구),22192,772
2020-01-01,강창하이츠,8341,626
2020-01-01,거동교1,2469,1535
2020-01-01,거동교2,1452,633
2020-01-01,건들바위건너,779,791
2020-01-01,건들바위앞,256,722
2020-01-01,건영아파트건너,4832,5879
2020-01-01,건영캐스빌건너,8292,1382
2020-01-01,건영캐스빌앞,4355,1561
2020-01-01,검단동대구축협앞,3237,94
2020-01-01,검단동행정복지센터1,934,40
2020-01-01,검단동행정복지센터2,4,466
2020-01-01,검단동행정복지센터건너,9102,72
2020-01-01,검단동행정복지센터앞,52,648
2020-01-01,검단상가아파트건너,5,15
2020-01-01,검단상가아파트앞,391,3
2020-01-01,검단유성아파트(서편),7007,1473
2020-01-01,검단유성아파트건너,4237,1210
2020-01-01,검단유성아파트앞,15819,3546
2020-01-01,경기장네거리1,4621,825
2020-01-01,경기장네거리2,3125,210
2020-01-01,경대교2,6055,697
2020-01-01,경대교건너,704,287
2020-01-01,경대교앞,733,1287
2020-01-01,경대사대부설고등학교앞,18704,8618
2020-01-01,경대아파트앞,4609,3846
2020-01-01,경덕여고,807,750
2020-01-01,경동산업앞,13,1
2020-01-01,경명여고건너,1748,552
2020-01-01,경명여고앞,1975,1350
2020-01-01,경북고등학교건너,7201,3639
2020-01-01,경북고등학교앞,11871,1290
2020-01-01,경북공고건너,4590,3736
2020-01-01,경북공고앞,6342,3958
2020-01-01,경북교통,2485,8225
2020-01-01,경북교통앞,3008,2318
2020-01-01,경북기계공고건너,6299,4408
2020-01-01,경북기계공고앞,6281,4208
2020-01-01,경북농업기술원건너,29,45
2020-01-01,경북농업기술원앞,7,4
2020-01-01,경북대체육센터건너,10277,642
2020-01-01,경북대체육센터앞,8056,6642
2020-01-01,경북대학교 경상대학앞,27996,4217
2020-01-01,경북대학교병원건너,14520,7430
2020-01-01,경북대학교병원앞,27021,5399
2020-01-01,경북대학교북문건너,56164,2892
2020-01-01,경북대학교북문앞,20632,6532
2020-01-01,경북대학교서문건너,6048,1865
2020-01-01,경북대학교서문앞,3586,1851
2020-01-01,경북대학교정문건너,7051,4742
2020-01-01,경북대학교정문앞,19197,4915
2020-01-01,경북대학교체육센터건너2,610,443
2020-01-01,경북대학교치과병원,22226,10718
2020-01-01,경북아파트건너(신천동),3250,13277
2020-01-01,경북아파트앞(신천동),6567,3712
2020-01-01,경북여상건너,8031,8482
2020-01-01,경북여상앞,13918,2512
2020-01-01,경북크랑크,1823,136
2020-01-01,경상감영공원건너,71477,13149
2020-01-01,경상감영공원앞,91887,51439
2020-01-01,경상북도농업인회관,2,2
2020-01-01,경상북도인재개발원1,11,4
2020-01-01,경상북도인재개발원2,3,0
2020-01-01,경상여자고등학교건너,3168,462
2020-01-01,경상여자고등학교앞,5494,4273
2020-01-01,경신고등학교건너,43380,6430
2020-01-01,경신고등학교앞,40071,8797
2020-01-01,경운초등학교건너,1248,788
2020-01-01,경운초등학교앞,3179,1221
2020-01-01,경원고등학교건너,514,103
2020-01-01,경원고등학교앞,286,49
2020-01-01,경일여자중학교건너,14048,2293
2020-01-01,경일여자중학교앞,2768,2239
2020-01-01,경주최씨종가(종점),192,0
2020-01-01,경주최씨종가1,91,8
2020-01-01,경주최씨종가2,25,3
2020-01-01,경진초등학교건너,4716,5606
2020-01-01,경진초등학교앞,14769,1158
2020-01-01,경진테크빌앞,1396,1306
2020-01-01,경창산업,1241,261
2020-01-01,경희강재건너,616,545
2020-01-01,경희강재앞,1777,92
2020-01-01,계명대대명캠퍼스후문건너,3287,802
2020-01-01,계명대역(1번출구),1038,1715
2020-01-01,계명대역(2번출구),3633,5013
2020-01-01,계명대학교대명캠퍼스건너,9894,4297
2020-01-01,계명대학교대명캠퍼스앞,10162,7059
2020-01-01,계명대학교대명캠퍼스후문앞,2616,926
2020-01-01,계명대학교동문건너1,9580,1170
2020-01-01,계명대학교동문건너2,34148,10227
2020-01-01,계명대학교동문앞,17112,7127
2020-01-01,계명대학교동산병원건너,9391,621
2020-01-01,계명대학교동산병원앞,2322,2246
2020-01-01,계명대학교정문건너,13327,1468
2020-01-01,계명대학교정문앞,2694,2697
2020-01-01,계명문화대학건너,9814,1439
2020-01-01,계명문화대학앞,6909,21606
2020-01-01,고래들공원건너,663,39
2020-01-01,고래들공원앞,95,82
2020-01-01,고모동입구,6243,4234
2020-01-01,고모역건너,254,170
2020-01-01,고모역앞,74,66
2020-01-01,고봉리,250,0
2020-01-01,고봉리2,128,4
2020-01-01,고산2동행정복지센터건너,10431,3360
2020-01-01,고산2동행정복지센터앞,17176,693
2020-01-01,고산골입구,4044,776
2020-01-01,고산농협창고건너,601,218
2020-01-01,고산농협창고앞,286,3407
2020-01-01,고산도서관,16455,6186
2020-01-01,고산역화성파크드림건너,14685,3578
2020-01-01,고산역화성파크드림앞,10477,3969
2020-01-01,고산정수사업소건너,1937,310
2020-01-01,고성아파트(서편),4861,3436
2020-01-01,고성아파트건너,1208,19
2020-01-01,고성아파트건너(서편),2199,2012
2020-01-01,고성아파트앞,57,164
2020-01-01,고성지구대1,725,627
2020-01-01,고성지구대2,1920,2056
2020-01-01,골안골,14,30
2020-01-01,골안골지하보도앞,3,84
2020-01-01,공고네거리1,20287,10491
2020-01-01,공고네거리2,9812,3185
2020-01-01,공군기지관사입구,108,45
2020-01-01,공단역1,13351,7753
2020-01-01,공단역2,17566,8445
2020-01-01,공단하수처리장건너,24,625
2020-01-01,공단하수처리장앞,187,33
2020-01-01,공산댐건너,1655,136
2020-01-01,공산댐앞,9,89
2020-01-01,공산동행정복지센터건너,697,552
2020-01-01,공산동행정복지센터앞,4423,278
2020-01-01,공산초등학교건너,191,107
2020-01-01,공산초등학교앞,1885,78
2020-01-01,공산파출소,41,107
2020-01-01,공항시장건너,10515,747
2020-01-01,공항시장앞,2981,2679
2020-01-01,과학마을청아람앞,10552,210
2020-01-01,곽병원건너,61057,23625
2020-01-01,곽병원앞1,23755,9005
2020-01-01,곽병원앞2,10147,3258
2020-01-01,관리공단,343,224
2020-01-01,관음공영주차장앞,1377,158
